raw_data_shape,xy_size,z_size,min_psnr,max_psnr,stacksize,virtual_size,psnr_sampling,max_probability,depth,start_filts,z_conv_stage,group_norm,masked,loss_function,up_mode,activation,block_type,name,lr,patience,batch_size,epochs,depth_scale,rotation,down_mode,Mean_psnr,Std_psnr,Min_psnr,Max_psnr,Mean_ssim,Std_ssim,Min_ssim,Max_ssim
"(3990, 512, 512)",256,32,0.9999,0.9999,1000,1000,signal,0.99999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0002,5,4,500,2,0,maxpool,26.88101335,0.9108528768,25.43228301,29.9503779,0.8092361185,0.02922925348,0.7497710458,0.889525877
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,100,100,signal,0.99,4,32,3,16,TRUE,photon,pixelshuffle,relu,tri,adamw,5.00E-05,5,5,250,2,,,26.88098434,0.9055957107,25.67049069,30.03195783,0.790196045,0.03006054482,0.7417648448,0.8742630372
"(3990, 512, 512)",256,32,-24.53809023,-19.25639868,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,10,maxpool,26.87727818,0.8608547584,25.47239444,30.07485077,0.8138802367,0.02671537898,0.764347462,0.884693599
"(3990, 512, 512)",128,128,-15.48838973,-10.53726315,1000,1000,db,0.99,5,24,6,0,TRUE,photon,transpose,silu,tri,adamw,1.00E-05,10,5,200,2,,,26.66334181,0.9049401407,25.43103531,29.43963245,0.7991175654,0.02798785282,0.7570037499,0.8738733756
"(3990, 512, 512)",128,128,-15.48838973,-10.53726315,1000,1000,signal,0.99,5,32,10,16,TRUE,photon,pixelshuffle,relu,Tri,adamw,5.00E-05,5,5,250,2,,,26.60114005,0.8822912781,25.40703281,29.84628935,0.7516594325,0.03573677916,0.7047121766,0.853071459
"(3990, 512, 512)",128,128,-15.48838973,-10.53726315,1000,1000,db,0.99,5,24,6,0,TRUE,photon,nearest,gelu,dual,adamw,1.00E-05,10,5,200,,,,26.51389945,0.872751158,25.09972111,29.28154357,0.7626478111,0.0344923219,0.7149738458,0.8586568876
"(3990, 512, 512)",64,64,-15.48838973,-10.53726315,5000,5000,db,0.99,5,24,6,0,TRUE,photon,transpose,relu,tri,adamw,2.00E-05,5,50,100,2,,,26.46869942,0.8697961853,25.19379862,29.59654006,0.7884122151,0.02949919316,0.7312126953,0.8685697905
"(3990, 512, 512)",256,32,0.99999,0.99999,1000,1000,signal,0.99999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0002,5,4,500,2,0,maxpool,26.12022709,0.8623620391,25.22995455,29.52335763,0.7886523757,0.02611892517,0.7476314504,0.8717315558
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,gelu,tri,sgd,5.00E-05,5,1,250,2,10,,24.47411828,0.7865940103,21.80792158,27.06513096,0.6497407421,0.04747218123,0.5467273035,0.7790169013
"(3400, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,FALSE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,23.14177933,0.7274993417,21.85776686,25.73365773,0.6509226399,0.0268876955,0.6094399433,0.7688676385
"(3400, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,FALSE,photon,pixelshuffle,gelu,tri,adamw,3.20E-05,20,4,150,2,0,maxpool,20.88859238,0.8441747518,19.86720221,23.88911818,0.5989981995,0.06155879861,0.522702391,0.7568667592
"(3990, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,,,,,,,,
"(3990, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,,,,,,,,
"(3400, 512, 512)",256,32,0.2,0.8,1000,1000,signal,0.999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,,,,,,,,
